id,edad,comuna,estrato,genero,gpoblacional,nivel_educativo,e_ingresos,e_sustento,e_talento,e_problematica,e_pasion,e_investigativo,aprendizaje_activo,creatividad_originalidad,pensamiento_alto,resolucion_problemas,liderazgo,gestion_tiempo,inteligencia_emoc,diseno_tecnologico,destrezas_manuales,gestion_finanzas,pensamiento_analitico,habilidades_visuales,fort_habillidades,toma_decisiones,ano_inicio,prim_emprend,bien_servicio,desc_bien,desarrollo_empren,rol,ingresos_sostenimiento,personas_empren,remuneracion,legal_vigente,tendencia,financiamiento,abandono,motivo_a,formalizacion,innovacion,presentacion_inn,sostenibilidad_ambiental,herramientas_tecnol,tecnologia,redes_sociales,apoyo_institucional,articulacion,acercamiento,ecosistema_emprendedor
11,16,Corregimiento San Antonio de Prado,2,Mujer,Ninguno de los anteriores,Secundaria en curso,4,0,6,4,4,7,4,6,6,6,5,7,3,3,3,5,5,1,"Pensamiento critico, Gestion del tiempo y coordinacion, Gestion de las finanzas",Muy comodo,2015,"Si, es mi primer emprendimiento",Ambos,Produccion de contenidos y expresiones artistica teatrales ,Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido, Los vinculos de mercado y distribucion",Si,Si,"Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales","Facebook, Twitter, Instagram, Whatsapp, Pagina web","Acompanamiento tecnico o asesoria, Formacion, Concurso",Si,"Formacion de red o equipo articulado, Intercambio de experiencias, Cooperacion",3
12,23,Corregimiento San Antonio de Prado,2,Mujer,Ninguno de los anteriores,Tecnica,7,7,7,2,7,3,7,6,7,6,7,7,7,7,7,6,5,6,"Liderazgo, Diseno tecnologico y programacion, Destrezas manuales, resistencia y precision",Muy comodo,2020,"Si, es mi primer emprendimiento",Servicio,Ventas a la poblacion dependiendo de su necesidad,Produccion y comercializacion,"Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta, Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos",Son la fuente mas importante de ingresos del hogar,1 a 3 personas,Algunas de ellas reciben remuneracion,Menos de 1 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,"Apoyo de familiares, amigos u otros.",Si,Problemas financieros,Ninguno de los anteriores,Si,"Las caracteristicas del bien/servicio que ofreces, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",Si,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,No,,6
13,23,Comuna 16- Belen,3,Mujer,Ninguno de los anteriores,Pregrado en curso,4,4,7,7,7,7,7,7,7,7,5,7,6,5,6,4,6,6,"Liderazgo, Diseno tecnologico y programacion, Gestion de las finanzas",Muy comodo,2020,"Si, es mi primer emprendimiento",Servicio,Es una empresa encargada de empoderar el talento humano de las empresas y asi crear ambientes laborales sanos. ,Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas de la organizacion (las personas, las relaciones y el entorno)",Si,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Ninguna,No,,3
14,26,Comuna 16- Belen,2,Mujer,En condicion de discapacidad,Pregrado en curso,2,2,2,0,0,2,2,2,3,2,2,0,2,2,2,0,2,2,"Creatividad, originalidad e iniciativa, Gestion del tiempo y coordinacion, Gestion de las finanzas",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Bien,Me dedico a la elaboracion de atrapasuenos y bisuteria ,Idea en estado avanzado,,,,,,,,,,,No,,Si,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,No,,4
15,17,Comuna 16- Belen,3,Hombre,En condicion de discapacidad,Tecnologia en curso,7,7,7,7,0,0,5,5,5,1,7,0,0,7,0,0,0,7,"Aprendizaje activo y estrategico, Creatividad, originalidad e iniciativa, Liderazgo",Muy comodo,2019,"Si, es mi primer emprendimiento",Ambos,Prestacion de servicios artisticos y/o culturales mediante el binomio danza-bailarin,Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",No,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales","Facebook, Twitter, Instagram, Whatsapp, Youtube","Acompanamiento tecnico o asesoria, Formacion, Concurso, Financiacion",Si,"Formacion de red o equipo articulado, Intercambio de experiencias, Cooperacion",7
16,19,Comuna 2- Santa Cruz,1,Hombre,Afrodescendiente,Posgrado en curso,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Creatividad, originalidad e iniciativa, Liderazgo, Diseno tecnologico y programacion, Pensamiento analitico e innovacion",Muy comodo,2017,"No, ya he emprendido antes",Ambos,Biblioteca digital ,Produccion y comercializacion,Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos,Son la fuente mas importante de ingresos del hogar,1 a 3 personas,Algunas de ellas reciben remuneracion,Mas de 4 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,Apoyo de actores institucionales,Si,Problemas financieros,Ninguno de los anteriores,Si,La forma en la que el bien/servicio es producido,Si,Si,Analisis de datos y toma de decisiones,Facebook,"Formacion, Financiacion",Si,Intercambio de experiencias,7
17,28,Comuna 15-Guayabal,3,Hombre,Ninguno de los anteriores,Secundaria,4,4,7,4,7,6,7,7,6,7,7,4,6,4,6,5,7,5,Diseno tecnologico y programacion,Muy comodo,2017,"Si, es mi primer emprendimiento",Servicio," Transformamos ropa usada en nuevos productos, tambien vendemos dotacion industrial a empresas que identificamos que sabemos que nos pueden comprar.

Transformamos la cojineria vieja de los autos en morrales de viaje",Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Promocionar y publicitar el producto para fomentar su venta",Son relativamente importantes en los ingresos del hogar,1 a 3 personas,Algunas de ellas reciben remuneracion,Entre 1 y 2 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,"Ahorros personales, Ahorros familiares, Credito con entidades financieras",Si,Problemas financieros,Registro unico Tributario (RUT),Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido",Si,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp","Acompanamiento tecnico o asesoria, Formacion",No,,7
18,23,Comuna 12- La America,4,Mujer,Ninguno de los anteriores,Pregrado en curso,7,5,6,2,6,6,7,7,5,7,7,6,2,4,7,7,7,7,"Creatividad, originalidad e iniciativa, Resolucion de problemas, Pensamiento analitico e innovacion",Muy comodo,2020,"No, ya he emprendido antes",Bien,Planificacion y desarrollo de creatividad para liberar estres y ansiedad.,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo",Son relativamente importantes en los ingresos del hogar,1 a 3 personas,Si,Entre 1 y 2 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,Ahorros personales,No,,Ninguno de los anteriores,No,,No,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Ninguna,No,,5
19,26,Comuna 10- La Candelaria,4,Mujer,Ninguno de los anteriores,Pregrado,6,6,1,5,7,2,6,2,4,6,5,7,5,1,4,5,3,4,"Aprendizaje activo y estrategico, Creatividad, originalidad e iniciativa, Liderazgo, Gestion del tiempo y coordinacion, Inteligencia emocional, Diseno tecnologico y programacion, Gestion de las finanzas, Pensamiento analitico e innovacion",Relativamente comodo,2017,"No, ya he emprendido antes",Servicio,"Prestacion de servicios juridicos -especialmente consultoria- en el area de derecho comercial, societario, laboral y de propiedad intelectual  a pymes y empresas y corporaciones del sector cultural de la ciudad. ",Produccion y comercializacion,Proveer materias primas e insumos a otros emprendimientos,Son la fuente mas importante de ingresos del hogar,No hay personas adicionales involucradas,Si,Entre 2 y 3 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,Ahorros personales,Si,COVID-19,"Numero de Identificacion Tributaria (NIT), Matricula de Industria y Comercio, Registro Mercantil",No,,No lo se,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Otro","Facebook, Instagram, Whatsapp",Ninguna,Si,"Formacion de red o equipo articulado, Cooperacion, Otra",4
20,28,Corregimiento Santa Elena,2,Hombre,Ninguno de los anteriores,Secundaria,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,5,6,7,"Inteligencia emocional, Gestion de las finanzas, Pensamiento analitico e innovacion",Relativamente comodo,2013,"No, ya he emprendido antes",Ambos,"Diseno grafico, artes graficas fisicas y digitales, produccion audiovisual y musical, realizacion y produccion de eventos artisticos y culturales, booking y circulacion artistica.",Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",Son la fuente mas importante de ingresos del hogar,1 a 5 personas,Si,Mas de 4 SMMLV,La produccion es constante durante el ano,"Ahorros personales, Credito con entidades financieras",No,,"Registro unico Tributario (RUT), Numero de Identificacion Tributaria (NIT), Registro Mercantil, Informar a la oficina de planeacion municipal sobre el inicio de actividades",Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido",Si,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Whatsapp, Linkedin","Acompanamiento tecnico o asesoria, Formacion",Si,"Formacion de red o equipo articulado, Intercambio de experiencias, Cooperacion",4
21,20,Comuna 9-Buenos Aires,2,Hombre,Ninguno de los anteriores,Tecnica,7,7,1,1,7,1,7,7,7,7,7,7,7,3,3,4,7,5,"Diseno tecnologico y programacion, Destrezas manuales, resistencia y precision, Gestion de las finanzas",Poco comodo,2020,"Si, es mi primer emprendimiento",Bien,El bien: el cliente se siente comodo con los productos que compra. Y el servicio: atender excelente al cliente. ,Produccion y comercializacion,"Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",Son relativamente importantes en los ingresos del hogar,No hay personas adicionales involucradas,No,Menos de 1 SMMLV,La produccion es constante durante el ano,Ahorros personales,No,,Ninguno de los anteriores,Si,Las caracteristicas del bien/servicio que ofreces,No,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,No,,6
22,19,Comuna 13-San Javier,2,Mujer,Ninguno de los anteriores,Pregrado en curso,7,7,0,0,3,0,6,7,6,6,7,5,5,4,6,3,6,6,"Aprendizaje activo y estrategico, Liderazgo, Inteligencia emocional",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Bien,"Venta de comidas rapidas: salchipapas, sanduches, nachos y mas cosas. Ademas venta de jugos naturales.
El restaurante es un espacio para compartir con amigos, anteriormente proyectabamos peliculas, haciamos noche de juegos de mesas, karaoke, entre otras cosas.",Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",Son relativamente importantes en los ingresos del hogar,1 a 5 personas,Si,Menos de 1 SMMLV,La produccion es constante durante el ano,Ahorros familiares,No,,Ninguno de los anteriores,No,,No lo se,No,,"Facebook, Instagram, Whatsapp",Ninguna,No,,4
23,20,Comuna 7-Robledo,2,Mujer,Ninguno de los anteriores,Pregrado en curso,3,2,7,4,7,1,5,6,5,5,6,4,4,1,5,4,6,1,"Creatividad, originalidad e iniciativa, Gestion del tiempo y coordinacion, Pensamiento analitico e innovacion",Muy comodo,2019,"No, ya he emprendido antes",Bien,Accesorios tejidos a mano en mostacilla,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final",Son relativamente importantes en los ingresos del hogar,1 a 3 personas,Si,Menos de 1 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,Ahorros personales,Si,Otra oportunidad de negocio/empleo,Ninguno de los anteriores,Si,La forma en la que el bien/servicio es producido,Si,Si,Publicidad e interaccion con los consumidores a traves de redes sociales,"Instagram, Whatsapp",Ninguna,No,,4
24,21,Comuna 4-Aranjuez,3,Mujer,Ninguno de los anteriores,Secundaria,7,7,5,0,0,0,0,5,7,6,5,7,2,0,4,6,5,6,"Inteligencia emocional, Gestion de las finanzas, Pensamiento analitico e innovacion",Poco comodo,2020,"Si, es mi primer emprendimiento",Ambos,"Hacemos postres, tortas y cosas de panaderia en mini ",Idea en estado avanzado,,,,,,,,,,,No,,No,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Otro","Instagram, Whatsapp",Ninguna,No,,4
25,25,Comuna 8-Villa Hermosa,2,Hombre,Ninguno de los anteriores,Tecnologia en curso,7,7,6,7,7,5,6,7,6,5,6,5,5,4,7,6,7,6,"Resolucion de problemas, Gestion del tiempo y coordinacion, Diseno tecnologico y programacion",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Servicio,El suministro y venta de mi producto,Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",Si,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea, Otro","Facebook, Whatsapp",Ninguna,No,,1
26,24,Comuna 6- Doce de Octubre,2,Mujer,Ninguno de los anteriores,Pregrado,0,0,7,7,7,5,6,6,7,7,7,7,5,4,4,6,7,5,"Aprendizaje activo y estrategico, Creatividad, originalidad e iniciativa, Destrezas manuales, resistencia y precision",Muy comodo,2019,"No, ya he emprendido antes",Servicio,"Inspiramos, fortalecemos y conectamos el talento. Desarrollamos habilidades para la empleabilidad que posibiliten la conexion de los jovenes de Medellin con oportunidades laborales.",Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido, La forma en que el bien/servicio es promocionado y vendido",No,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales","Facebook, Instagram, Whatsapp, LinkedIn","Acompanamiento tecnico o asesoria, Formacion, Concurso, Financiacion",Si,Cooperacion,5
27,16,Comuna 7-Robledo,2,Mujer,Ninguno de los anteriores,Tecnica en curso,3,3,7,5,7,7,7,7,7,7,6,7,7,5,7,5,7,7,"Pensamiento critico, Inteligencia emocional, Diseno tecnologico y programacion",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Ambos,"Venta de articulos de hombre y mujer, aunque me encantaria empezar un nuevo proyecto de panalares solares ",Idea,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno)",Si,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Concurso,No,,5
28,28,Comuna 11- Laureles Estadio,5,Mujer,Ninguno de los anteriores,Pregrado,5,1,7,1,7,5,7,7,7,7,7,7,5,5,5,5,7,7,"Aprendizaje activo y estrategico, Diseno tecnologico y programacion, Gestion de las finanzas",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Ambos,"Es una tienda de maquillaje virtual, pero no solo vendemos productos de maquillaje, Sino que hacemos contenido en busqueda de que las mujeres se sientan genuinas, empoderadas, que pueden hacer lo que ellas quieran. Ademas que se sientan lindas tal cual como son, que usen el maquillaje como algo lindo, mas no porque se sientan feas o menos que otras mujeres, ese es el concepto general y la idea a futuro es vender todo tipo de productos para mujer. Ademas volvernos proveedores y distribuidores de otras pequenas empresas ",Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en que el bien/servicio es promocionado y vendido",No lo se,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,No,,2
29,25,Comuna 11- Laureles Estadio,4,Mujer,Ninguno de los anteriores,Pregrado,4,3,6,2,7,2,5,6,6,6,7,6,6,2,6,3,7,6,"Creatividad, originalidad e iniciativa, Diseno tecnologico y programacion, Gestion de las finanzas",Relativamente comodo,2019,"No, ya he emprendido antes",Bien,Cafe y metodos de preparacion ,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",Son relativamente importantes en los ingresos del hogar,1 a 3 personas,No,Entre 1 y 2 SMMLV,La produccion es constante durante el ano,"Ahorros personales, Apoyo de familiares, amigos u otros.",Si,Practica empresarial ,Registro unico Tributario (RUT),Si,Las caracteristicas del bien/servicio que ofreces,Si,No,,"Facebook, Instagram, Whatsapp",Ninguna,Si,"Intercambio de experiencias, Cooperacion",5
